Num	Name	Location	date	T1	T2
12580	Jay	HK	2017/4/28	9:25	20:48
12580	Jay	HK	2017/4/27	9:25	22:51
12580	Jay	HK	2017/4/26	9:19	23:11
12580	Jay	HK	2017/4/25	9:22	23:04
12580	Jay	HK	2017/4/24	9:25	20:41
12580	Jay	HK	2017/4/22	8:26	18:14
12580	Jay	HK	2017/4/21	9:24	9:24
12580	Jay	HK	2017/4/20	9:24	20:40
12580	Jay	HK	2017/4/19	9:27	18:14
12580	Jay	HK	2017/4/18	9:28	18:13
12580	Jay	HK	2017/4/17	9:26	20:31
12580	Jay	HK	2017/4/14	9:26	18:12
12580	Jay	HK	2017/4/13	9:26	20:32
12580	Jay	HK	2017/4/12	9:26	22:06
12580	Jay	HK	2017/4/11	9:28	20:39
12580	Jay	HK	2017/4/10	9:25	18:12
12580	Jay	HK	2017/4/7	9:28	18:06
12580	Jay	HK	2017/4/6	9:28	18:15
12580	Jay	HK	2017/4/5	9:28	18:07
12580	Jay	HK	2017/4/1	9:28	18:02
12580	Jay	HK	2017/3/31	9:24	18:01
12580	Jay	HK	2017/3/30	9:28	20:35
12580	Jay	HK	2017/3/29	9:27	18:22
12580	Jay	HK	2017/3/28	9:28	18:11
12580	Jay	HK	2017/3/27	9:25	18:08
